book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Logic and Discrete Mathematics: A Computer Science Perspective,"['Winfried Karl Grassmann', 'Jean-Paul Tremblay']",3.38,16,1,776,1995,2,Paperback,English,ISBN0135012066(ISBN13:9780135012062),https://www.goodreads.com/book/show/478573.Logic_and_Discrete_Mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=108
Graph Theory with Applications to Engineering and Computer Science,Narsingh Deo,4.59,17,1,496,,2,Paperback,,ISBN0486807932(ISBN13:9780486807935),https://www.goodreads.com/book/show/27778088-graph-theory-with-applications-to-engineering-and-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=109
Computer Science Made Simple: Learn how hardware and software work-- and how to make them work for you!,"['V. Anton Spraul', 'Barbara P. Moss']",3.63,16,2,192,2005,2,Paperback,English,ISBN0767917073(ISBN13:9780767917070),https://www.goodreads.com/book/show/991589.Computer_Science_Made_Simple?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=110
The Pattern On The Stone: The Simple Ideas that Make Computers Work,William Daniel Hillis,4.04,612,65,176,1998,19,Paperback,English,ISBN0753812622(ISBN13:9780753812624),https://www.goodreads.com/book/show/496281.The_Pattern_On_The_Stone?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=111
MCQs in Computer Science,Timothy J.  Williams,3.73,11,0,456,2010,3,Paperback,,ISBN0071077693,https://www.goodreads.com/book/show/25736388-mcqs-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=112
JAVA: A Beginner to Expert Guide to Learning the Basics of Java Programming (Computer Science Series),James       Patterson,3.0,14,0,162,,1,Kindle Edition,,,https://www.goodreads.com/book/show/29227081-java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=113
On the cruelty of teaching Computer Science,Edsger W. Dijkstra,4.11,19,5,14,1988,1,Unknown Binding,English,,https://www.goodreads.com/book/show/12413355-on-the-cruelty-of-teaching-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=114
Click Start Level 4 Student eBook: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",4.71,7,0,84,2016,1,ebook,,ISBN1107537460(ISBN13:9781107537460),https://www.goodreads.com/book/show/24728515-click-start-level-4-student-ebook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=115
Cambridge International as & a Level Computer Science,"['David        Watson', 'Helen Williams']",3.5,4,1,550,,3,Paperback,,ISBN1510457593(ISBN13:9781510457591),https://www.goodreads.com/book/show/42926237-cambridge-international-as-a-level-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=116
An Introduction to Computer Science: An Algorithmic Approach,"['Jean-Paul Tremblay', 'Richard B. Bunt']",3.83,29,1,961,1980,3,Hardcover,English,ISBN0070651744(ISBN13:9780070651746),https://www.goodreads.com/book/show/4596319-an-introduction-to-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=117
"LINUX: Learn Linux The Smart Way! Linux for Beginners Guide to: Linux Command Line, Linux System, & Linux Commands (Computer Science, Linux Essentials, ... Programming, Linux Operating System Book 1)",Quick Start Guides,3.0,27,0,102,2015,1,Kindle Edition,English,,https://www.goodreads.com/book/show/26160610-linux?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=118
Introductory Discrete Mathematics (Dover Books on Computer Science),V.K. Balakrishnan,4.0,21,1,260,1991,5,Kindle Edition,,ISBN0486691152(ISBN13:9780486691152),https://www.goodreads.com/book/show/19563888-introductory-discrete-mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=119
Summary: Algorithms to Live By: The Computer Science of Human Decisions,Readtrepreneur Publishing,4.06,18,3,,,2,Kindle Edition,,,https://www.goodreads.com/book/show/39077378-summary?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=121
"Hacking: Hacking Made Easy 1: Beginners: Python: Python Programming For Beginners, Computer Science, Computer Programming","['Ash Publishing', 'Alexander Sycamore']",3.78,18,3,60,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/31366510-hacking?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=122
Programming Abstractions in C: A Second Course in Computer Science,Eric S. Roberts,3.75,20,1,819,1997,1,Paperback,English,ISBN0201545411(ISBN13:9780201545418),https://www.goodreads.com/book/show/475825.Programming_Abstractions_in_C?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=124
GRE Computer Science (REA) 5th Ed. - The Best Test Prep for the GRE,Benjamin Wells,3.67,6,0,192,2004,2,Paperback,,ISBN087891434X(ISBN13:9780878914340),https://www.goodreads.com/book/show/1536144.GRE_Computer_Science_REA_5th_Ed_The_Best_Test_Prep_for_the_GRE?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=125
"Operation of Wastewater Treatment Plants, Volume 1","['Office of Water Programs College of Engineering and Computer Science California State University', 'Kenneth D. Kerri']",3.6,5,0,541,2004,1,Paperback,English,ISBN1593710054(ISBN13:9781593710057),https://www.goodreads.com/book/show/1439165.Operation_of_Wastewater_Treatment_Plants_Volume_1?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=126
Barron's AP Computer Science A,Roselyn Teukolsky,3.96,23,3,504,2015,2,Paperback,English,ISBN1438005946(ISBN13:9781438005942),https://www.goodreads.com/book/show/22945545-barron-s-ap-computer-science-a?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=127
Thesis Projects: A Guide for Students in Computer Science and Information Systems,"['Mikael Berndtsson', 'Jörgen Hansson']",3.29,14,2,162,2007,2,Paperback,English,ISBN1848000081(ISBN13:9781848000087),https://www.goodreads.com/book/show/5015195-thesis-projects?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=128
Switching and Finite Automata Theory: Computer Science Series,Zvi Kohavi,3.9,20,0,658,1978,8,Hardcover,English,ISBN0070353107(ISBN13:9780070353107),https://www.goodreads.com/book/show/2066967.Switching_and_Finite_Automata_Theory?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=132
Cambridge International AS and A Level Computer Science Coursebook,"['Sylvia Langfield', 'Dave Duddell']",2.75,4,1,448,2015,1,Paperback,,ISBN1107546737(ISBN13:9781107546738),https://www.goodreads.com/book/show/26406830-cambridge-international-as-and-a-level-computer-science-coursebook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=134
"Fifth Italian Conference on Theoretical Computer Science: Villa Rufolo, Ravello, Italy November 9-11, 1995","['ital Italian Conference on Theoretical Computer Science 1995 Ravello', 'A. de Santis']",3.0,1,0,563,1996,1,Hardcover,,ISBN981022673X(ISBN13:9789810226732),https://www.goodreads.com/book/show/2969076-fifth-italian-conference-on-theoretical-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=135
"RUBY: 2nd Edition! Beginner's Crash Course - Ruby for Beginners Guide to: Ruby Programming, Ruby On Rails, Rails Programming (Data Structures, Data Science, ... Computer Science, Computer Book 1)",Quick Start Guides,3.7,10,0,147,2015,1,Kindle Edition,,,https://www.goodreads.com/book/show/26162071-ruby?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=136
"Science Facts for Kids: Fun Facts and Information about Astronomy, Biology, Chemistry, Archaeology, Physics, Robotics, Geology, Economics, Computer Science and More!",Elliot Best,4.39,18,0,121,,2,Kindle Edition,,,https://www.goodreads.com/book/show/40502888-science-facts-for-kids?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=138
Encyclopedia of Computer Science and Technology,Harry Henderson,4.5,8,0,580,2003,4,Hardcover,English,ISBN0816063826(ISBN13:9780816063826),https://www.goodreads.com/book/show/6576999-encyclopedia-of-computer-science-and-technology?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=139
Concrete Mathematics: A Foundation for Computer Science (2nd Edition),Oren Patashnik,4.8,5,0,638,,1,Kindle Edition,,,https://www.goodreads.com/book/show/39810624-concrete-mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=140
PGT Guide Computer Science Recruitment Examination,Arihant Experts,4.25,8,0,339,,1,Paperback,,ISBN931214510X(ISBN13:9789312145104),https://www.goodreads.com/book/show/39683459-pgt-guide-computer-science-recruitment-examination?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=142
Together With Computer Science Python-XII,Rachna Sagar,4.33,3,0,,,1,Paperback,,ISBN8181378474(ISBN13:9788181378477),https://www.goodreads.com/book/show/31941205-together-with-computer-science-python-xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=143
Click Start Level 7: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",4.15,13,0,84,2016,1,ebook,,ISBN1107537568(ISBN13:9781107537569),https://www.goodreads.com/book/show/24728522-click-start-level-7?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=144
Gems of Theoretical Computer Science,Uwe Schöning,4.33,6,0,320,1998,4,Hardcover,English,ISBN3540644253(ISBN13:9783540644255),https://www.goodreads.com/book/show/4715024-gems-of-theoretical-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=145
Concrete Abstractions: An Introduction to Computer Science Using Scheme,"['Max Hailperin', 'Barbara K. Kaiser', 'Karl Knight']",3.89,9,0,800,1998,1,Paperback,English,ISBN0534952119(ISBN13:9780534952112),https://www.goodreads.com/book/show/2048134.Concrete_Abstractions?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=146
Schaum's Outline of Principles of Computer Science,"['Carl  Reynolds', 'Paul Tymann']",3.8,15,0,221,2008,1,Paperback,English,ISBN0071460519(ISBN13:9780071460514),https://www.goodreads.com/book/show/3104026-schaum-s-outline-of-principles-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=147
Discrete Mathematical Structures for Computer Science,"['Bernard Kolman', 'Robert C. Busby']",4.2,25,0,401,1984,4,Hardcover,English,ISBN013216003X(ISBN13:9780132160032),https://www.goodreads.com/book/show/115140.Discrete_Mathematical_Structures_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=148
E-world -Computer Science for ICSE Class 6 By Pearson,"['Anita Goel', 'Sanchayan Kumar Ray']",3.33,3,1,160,,1,Paperback,,ISBN9332584494(ISBN13:9789332584495),https://www.goodreads.com/book/show/46137167-e-world--computer-science-for-icse-class-6-by-pearson?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=149
UGC NET Computer Science Subject Wise Previous Years Solved Papers(2004-2017) with Explanation,Veenu Saini,3.63,8,0,1281,,1,Kindle Edition,,,https://www.goodreads.com/book/show/36185425-ugc-net-computer-science-subject-wise-previous-years-solved-papers-2004-?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=151
Connecting with Computer Science,"['David Ferro', 'Robert Hilton']",3.78,27,2,662,2005,3,Paperback,English,ISBN061921290X(ISBN13:9780619212902),https://www.goodreads.com/book/show/149000.Connecting_with_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=152
Extremal Combinatorics: With Applications in Computer Science,Stasys Jukna,4.53,15,0,375,2001,4,Hardcover,English,ISBN3540663134(ISBN13:9783540663133),https://www.goodreads.com/book/show/746762.Extremal_Combinatorics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=154
Practice Book for GATE & PSUs: Computer Science & IT (2650 MCQs),Made Easy Editorial Board,3.67,6,0,469,,1,Paperback,,ISBN9351473260(ISBN13:9789351473268),https://www.goodreads.com/book/show/40680770-practice-book-for-gate-psus?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=155
"UGC NET Previous Years Solved Papers - I, II & III Computer Science & Applications: 62 Solved Papers of Last 13 Years (2004-2016) with Explanation.",Veenu Saini,3.67,6,0,,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/33545467-ugc-net-previous-years-solved-papers---i-ii-iii-computer-science-ap?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=157
Computer Science & Perl Programming: Best of The Perl Journal,Jon Orwant,4.18,17,2,762,2002,5,Paperback,English,ISBN0596003102(ISBN13:9780596003104),https://www.goodreads.com/book/show/860884.Computer_Science_Perl_Programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=158
Структуры данных и алгоритмы в Java. Классика Computers Science. 2-е изд.,"['Robert Lafore', 'Роберт Лафоре']",4.1,299,22,704,1998,10,ebook,Russian,ISBN0672324539(ISBN13:9785496007405),https://www.goodreads.com/book/show/24142621-java-computers-science-2-?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=160
Digital Principles and Logic Design (Engineering) (Computer Science) (Engineering Series),"['Arijit Saha', 'Nilotpal Manna']",3.89,9,1,480,2007,1,Hardcover,,ISBN1934015032(ISBN13:9781934015032),https://www.goodreads.com/book/show/6701614-digital-principles-and-logic-design-engineering-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=162
"Proceedings of the 8th IEEE/Acis International Conference on Computer and Information Science: June 1-3, 2009, Shanghai, China",International Association for Computer & Information Science,0.0,0,0,1218,2009,1,Paperback,,ISBN0769536417(ISBN13:9780769536415),https://www.goodreads.com/book/show/22106877-proceedings-of-the-8th-ieee-acis-international-conference-on-computer-an?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=163
Classic Computer Science Problems in Swift,David Kopec,4.29,14,0,206,,2,Paperback,English,ISBN1617294896(ISBN13:9781617294891),https://www.goodreads.com/book/show/36001030-classic-computer-science-problems-in-swift?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=165
"Three Views of Logic: Mathematics, Philosophy, and Computer Science","['Donald W. Loveland', 'Richard E. Hodel', 'S.G. Sterrett']",3.6,5,0,322,2013,4,Paperback,,ISBN0691160449(ISBN13:9780691160443),https://www.goodreads.com/book/show/17861602-three-views-of-logic?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=167
Computer Science With C++ - CBSE XII - Vol. 2: A Textbook for CBSE Class XII (2018-19 Session),"['Preeti Arora', 'Pinky Gupta']",3.78,9,0,264,,1,Paperback,,ISBN8183506003(ISBN13:9788183506007),https://www.goodreads.com/book/show/44030921-computer-science-with-c---cbse-xii---vol-2?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=168
Computer Science Handbook,Allen B. Tucker Jr.,3.5,4,0,2752,2004,6,Hardcover,English,ISBN158488360X(ISBN13:9781584883609),https://www.goodreads.com/book/show/3022342-computer-science-handbook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=170
"Security in Computer and Information Sciences: First International ISCIS Security Workshop 2018, Euro-CYBERSEC 2018, London, UK, February 26-27, 2018, ... Computer and Information Science Book 821)","['Erol Gelenbe', 'Paolo Campegiani', 'Tadeusz Czachorski', 'Sokratis K. Katsikas', 'Ioannis Komnios', 'Luigi Romano', 'Dimitrios Tzovaras']",5.0,2,0,170,,1,Kindle Edition,,,https://www.goodreads.com/book/show/40999034-security-in-computer-and-information-sciences?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=171
Object Technology Today: Lessons From Award Winning Commercial Applications,Computer Science Corporation,0.0,0,0,224,1996,1,Paperback,English,ISBN0471106143(ISBN13:9780471106142),https://www.goodreads.com/book/show/2946945-object-technology-today?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=173
Keeping the U.S. Computer Industry Competitive: Systems Integration,"['Computer Science and Telecommunication Board', 'National Research Council', 'Mathematics, and Applications Commission on Physical Sciences']",0.0,0,0,106,1992,3,Paperback,English,ISBN0309045444(ISBN13:9780309045445),https://www.goodreads.com/book/show/2872608-keeping-the-u-s-computer-industry-competitive?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=174
"Computer Science: Quick Web Links to FREE 250+ Textbooks, 300+ Lecture notes, 200+ Solved quizzes, 200+ Solved Past exams papers, Dictionaries, Encyclopedias, Glossaries and Many more...",Dr. Web Links,5.0,2,0,191,,1,Kindle Edition,,,https://www.goodreads.com/book/show/44064683-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=176
Digital Voyage Computer Science Series Class - 7,Vaishali Gupta,3.67,6,0,,,1,Paperback,,ISBN8181315324(ISBN13:9788181315328),https://www.goodreads.com/book/show/51887168-digital-voyage-computer-science-series-class---7?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=177
Practical Programming: An Introduction to Computer Science Using Python 3.6,"['Paul Gries', 'Jennifer Campbell', 'Jason Montojo', 'Tammy Coron']",4.5,10,2,397,,6,,,ISBN139781680502688,https://www.goodreads.com/book/show/37782546-practical-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=178
Formal Languages and Their Relation to Automata (Addison-Wesley series in computer science and information processing),"['J.E. Hopcroft', 'Jeffrey D. Ullman']",3.4,5,0,288,1969,1,Hardcover,,ISBN0201029839(ISBN13:9780201029833),https://www.goodreads.com/book/show/3675371-formal-languages-and-their-relation-to-automata?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=179
Cambridge International AS and A Level Computer Science Teacher's Resource CD-ROM,"['Sylvia Langfield', 'Dave Duddell']",4.0,1,0,,,1,CD-ROM,,ISBN1316609855(ISBN13:9781316609859),https://www.goodreads.com/book/show/35144147-cambridge-international-as-and-a-level-computer-science-teacher-s-resour?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=180
